Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
John Glascoe,11,Grim City Reapers,Buffalo 2,Tier 2,4,0,2,2,0,0.5
Colin Wilbur,99,Leominster Stars,Massachusetts,Tier 1,5,0,2,2,0,0.4
Brandon Burger,98,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,2,2,0,0.33
Mark Goodey,91,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,2,2,0,0.33
Rob DeNezzo,8,Long Island Sound,North Jersey 2,Tier 2,7,0,2,2,0,0.29
James Abbene,80,Long Island Sound,North Jersey 2,Tier 2,7,0,2,2,0,0.29
Corey Pederson,4,Maple Shade Chiefs,South Jersey 2,Tier 2,5,0,2,2,0,0.4
Tim Ryan,77,Marlton Dawgz,New Jersey,Tier 1,4,0,2,2,1.5,0.5
Aiden Jones,2,Marlton Dawgz,New Jersey,Tier 1,4,0,2,2,3,0.5
Jordan Adu,10,Mass Vengeance,Massachusetts 2,Tier 2,5,0,2,2,0,0.4
Gannon Warrick,98,Northside Militia,Pittsburgh 2,Tier 2,5,0,2,2,0,0.4
Harry Kramer,15,Northside Militia,Pittsburgh 2,Tier 2,5,0,2,2,1.5,0.4
Sean Corcoran,91,Phoenixville Purge,Philadelphia 2,Tier 2,5,0,2,2,0,0.4
Cory Schelest,18,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,0,2,2,1.5,0.5
Salvatore Ippolito,85,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,0,2,2,0,0.5
Mike Paiva,10,South Coast Chargers,New England 2,Tier 2,4,0,2,2,0,0.5
Jordan Crowley,21,South Coast Chargers,New England 2,Tier 2,4,0,2,2,6,0.5
Macky Osherow,16,South Jersey Majestic,South Jersey 2,Tier 2,1,0,2,2,0,2
Matthew Wilhite,71,A-Town Tropics,Massachusetts 2,Tier 2,4,1,0,1,0,0.25
Chris Eng,97,Arlington Plague,Washington DC,Tier 2,4,1,0,1,0,0.25
Chris Howdeshell,7,Arlington Plague,Washington DC,Tier 2,4,1,0,1,0,0.25
Michael Ormond,99,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,1,0,1,0,0.25
Tom White,42,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,1,0,1,0,0.25
Mike Cox,47,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,1,0,1,0,0.25
Will Macinnis,11,Bay Area Bashers,California 2,Tier 2,7,1,0,1,0,0.14
Jordan Pransky,55,Bay Area Burger Boys,California 3,Tier 3,4,1,0,1,0,0.25
Bobby Shogren,29,Bay Area Burger Boys,California 3,Tier 3,4,1,0,1,0,0.25
Dan Geatens,22,Bellmawr Hawks,New Jersey,Tier 1,5,1,0,1,3,0.2
Drew Weatherby,28,Bellmawr Hawks,New Jersey,Tier 1,5,1,0,1,0,0.2
Jason Tevepaugh,15,Boston Rattlers,Boston 3,Tier 3,5,1,0,1,0,0.2
Mike Guerrea,95,Buffalo 716ers,Buffalo,Tier 1,5,1,0,1,1.5,0.2
Dennis Smith,9,Buffalo 716ers,Buffalo,Tier 1,5,1,0,1,0,0.2
Brandon Conley,22,Buffalo 716ers,Buffalo,Tier 1,5,1,0,1,0,0.2
Johnny Lensenhuber,24,Buffalo Wear-It,Buffalo 2,Tier 2,4,1,0,1,0,0.25
Rob Church,6,Buffalo Wear-It,Buffalo 2,Tier 2,4,1,0,1,0,0.25
Brian Kowarko,38,Buffalo Wear-It,Buffalo 2,Tier 2,4,1,0,1,0,0.25
Phil Basel,24,Butler Bantams,Pittsburgh 2,Tier 2,5,1,0,1,0,0.2
Bill Dillon,80,Butler Bantams,Pittsburgh 2,Tier 2,5,1,0,1,0,0.2
Quinn Sawyer,87,Columbus Counts,Indiana 3,Tier 3,5,1,0,1,1.5,0.2
Dylan Kimbleton,48,Columbus Counts,Indiana 3,Tier 3,5,1,0,1,1.5,0.2
Jim Morrel,96,Delco Devils,Philadelphia 3,Tier 3,4,1,0,1,0,0.25
Eric Fiorini,28,Delco Devils,Philadelphia 3,Tier 3,4,1,0,1,1.5,0.25
Jimmy avella,25,Delco Devils,Philadelphia 3,Tier 3,3,1,0,1,0,0.33
James Simpson,13,Delco Devils,Philadelphia 3,Tier 3,4,1,0,1,0,0.25
Charles Vacanti,88,Grim City Reapers,Buffalo 2,Tier 2,4,1,0,1,0,0.25
Peyton Truban,66,Jersey Dinos,Philadelphia 3,Tier 3,5,1,0,1,4.5,0.2
Ryan Consalvo,8,Leominster Stars,Massachusetts,Tier 1,4,1,0,1,0,0.25
Michael Lieberman,44,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,1,0,1,1.5,0.17
Connor McCelroy,68,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,1,0,1,3,0.17
John Cusumano,12,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,1,0,1,0,0.17
Troy Zamore,32,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,1,0,1,0,0.17
Brayden Schnepf,91,Long Island Sound,North Jersey 2,Tier 2,7,1,0,1,0,0.14
Dan Redner,88,Maple Shade Chiefs,South Jersey 2,Tier 2,5,1,0,1,1.5,0.2
Dan Poirer,11,Mass Vengeance,Massachusetts 2,Tier 2,5,1,0,1,0,0.2
Brady Cormier,11,Mill City Warriors,Massachusetts 2,Tier 2,4,1,0,1,0,0.25
Ryan Silva,91,Mill City Warriors,Massachusetts 2,Tier 2,4,1,0,1,0,0.25
Nick McNally,7,Mill City Warriors,Massachusetts 2,Tier 2,4,1,0,1,0,0.25
Jon-Michael Barret,11,Niagara Daredevils,Buffalo,Tier 1,4,1,0,1,1.5,0.25
Wade Stafford,5,Niagara Daredevils,Buffalo,Tier 1,4,1,0,1,0,0.25
Jay Grubic,22,Northside Militia,Pittsburgh 2,Tier 2,5,1,0,1,0,0.2
Matt Tomasic,76,Northside Militia,Pittsburgh 2,Tier 2,5,1,0,1,10.5,0.2
Kyle Snow,25,Oakridge Owls,Massachusetts,Tier 1,3,1,0,1,0,0.33
Cody Swift,73,Oakridge Owls,Massachusetts,Tier 1,2,1,0,1,8,0.5
Aden Eberle,72,Orlando Mutiny,Florida 2,Tier 2,6,1,0,1,0,0.17
Jim Kiesel,12,Penn Hills Imperium,Pittsburgh,Tier 1,5,1,0,1,0,0.2
Harrison Litzinger,21,Penn Hills Imperium,Pittsburgh,Tier 1,5,1,0,1,0,0.2
Dan Brady,10,Phoenixville Purge,Philadelphia 2,Tier 2,5,1,0,1,0,0.2
Brian Hooks,4,Raleigh Squall,Carolina 3,Tier 3,6,1,0,1,0,0.17
Chris Young,8,Raleigh Squall,Carolina 3,Tier 3,6,1,0,1,3,0.17
Riley Spencer,16,Red River Rougarou,Texas 3,Tier 3,6,1,0,1,0,0.17
Brad Duggan,55,Red River Rougarou,Texas 3,Tier 3,6,1,0,1,0,0.17
Tyler Cook,22,Red River Rougarou,Texas 3,Tier 3,6,1,0,1,0,0.17
Owen Evans,74,Savage Ogopogos,Maryland 3,Tier 3,5,1,0,1,0,0.2
Daniel Ruberg,21,Savage Ogopogos,Maryland 3,Tier 3,5,1,0,1,0,0.2
Brian Bowen,37,Savage Ogopogos,Maryland 3,Tier 3,5,1,0,1,0,0.2
Vincent Payette,32,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,1,0,1,0,0.25
Brad Brey,29,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,1,0,1,0,0.25
Jacob Brown,7,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,1,0,1,1.5,0.25
Aaron Good,9,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,3,1,0,1,0,0.33
Matt Migale,44,Steel City Show Stoppers,Pittsburgh,Tier 1,1,1,0,1,0,1
Kyle Nolan,18,Steel City Show Stoppers,Pittsburgh,Tier 1,3,1,0,1,0,0.33
Riley Paine,17,A-Town Tropics,Massachusetts 2,Tier 2,4,0,1,1,1.5,0.25
Connor Mahony,2,A-Town Tropics,Massachusetts 2,Tier 2,4,0,1,1,1.5,0.25
Caleb Cox,14,A-Town Tropics,Massachusetts 2,Tier 2,4,0,1,1,0,0.25
Brendan Dixon,10,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,1,1,0,0.25
Steve Giannone,11,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,1,1,0,0.25
Mike Hughes,97,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,1,1,0,0.25
Kevin Hollenback,24,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,1,1,0,0.25
Brendan Blight,21,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,1,1,0,0.25
